Driver Name,Base Price,Current Price,Australia: Qualifying,Australia: Grand Prix ,Australia,China: Sprint,China: Qualifying,China: Grand Prix,China,Japan: Qualifying,Japan: Grand Prix ,Japan,Miami: Sprint,Miami: Qualifying,Miami: Grand Prix,Miami,Canada: Sprint,Canada: Qualifying,Canada: Grand Prix ,Canada,Monaco: Qualifying,Monaco: Grand Prix ,Monaco,Total,Avg,Avg(4d1),ΔAvgs,STDEV,Points per dollar,Driver Code
Alexander Albon,11.6,8.8,0,8,8,13,0,-20,-7,0,-1,-1,5,0,15,20,6,0,-14,-8,0,9,9,0,0.0,3.5,3.5,7.55,0.00,alb
Fernando Alonso,10,6.8,0,-14,-14,6,0,-13,-7,0,4,4,10,0,10,20,-9,0,-17,-26,0,15,15,-17,-5.7,-1.5,4.2,9.07,-0.83,alo
Kimi Antonelli,23.2,25,9,23,32,11,10,47,68,10,40,50,1,10,31,42,12,9,41,62,10,45,55,150,50.0,59.0,9.0,18.00,2.00,ant
Oliver Bearman,7.4,8.2,0,20,20,5,1,28,34,0,-14,-14,3,0,3,6,2,0,8,10,0,-19,-19,40,13.3,27.0,13.7,24.68,1.63,bea
Gabriel Bortoleto,6.4,5.6,1,12,13,6,0,-20,-14,2,1,3,-10,0,17,7,2,0,3,5,0,5,5,2,0.7,8.0,7.3,13.65,0.12,bor
Valtteri Bottas,5.9,3.9,0,-16,-16,-8,0,11,3,0,2,2,1,0,3,4,6,0,6,12,0,-20,-20,-11,-3.7,2.5,6.2,10.69,-0.94,bot
Franco Colapinto,6.2,9.4,0,6,6,9,0,9,18,0,4,4,-2,3,12,13,8,1,16,25,0,0,0,28,9.3,12.0,2.7,7.57,0.99,col
Pierre Gasly,12,11.6,0,11,11,0,4,16,20,4,10,14,5,2,-10,-8,3,0,13,16,2,10,12,45,15.0,17.0,2.0,4.58,1.29,gas
Isack Hadjar,15.1,11.5,8,-16,-8,3,2,14,19,3,2,5,3,-5,-14,-16,-10,4,12,6,6,17,23,16,5.3,12.0,6.7,13.50,0.46,had
Lewis Hamilton,2.5,23.9,4,21,25,15,8,25,48,5,14,19,4,5,11,20,3,6,33,42,8,19,27,92,30.7,36.5,5.8,15.31,1.28,ham
Nico Hulkenberg,6.8,3.2,0,-20,-20,-3,0,10,7,0,10,10,-10,1,-20,-29,-1,0,2,1,0,3,3,-3,-1.0,8.5,9.5,16.52,-0.31,hul
Liam Lawson,6.5,8.1,3,2,5,14,0,21,35,0,10,10,4,0,-16,-12,11,0,12,23,1,15,16,50,16.7,22.5,5.8,16.07,2.06,law
Charles Leclerc,22.8,23.8,7,22,29,21,7,23,51,7,24,31,8,8,11,27,6,3,18,27,7,-20,-13,111,37.0,41.0,4.0,12.17,1.55,lec
Arvid Lindblad,6.2,5.8,2,13,15,-4,0,11,7,1,0,1,-10,0,6,-4,2,2,-20,-16,0,21,21,23,7.7,11.0,3.3,7.02,1.32,lin
Lando Norris,27.2,26.2,5,16,21,5,5,-20,-10,6,18,24,13,7,34,54,9,8,-11,6,3,-20,-17,35,11.7,22.5,10.8,18.82,0.45,nor
Esteban Ocon,7.3,10.1,0,9,9,9,0,15,24,0,9,9,9,0,5,14,3,0,5,8,0,12,12,42,14.0,16.5,2.5,8.66,1.39,oco
Sergio Perez,6,6.8,0,4,4,9,0,11,20,0,4,4,4,0,15,19,5,0,-16,-11,0,8,8,28,9.3,12.0,2.7,9.24,1.37,per
Oscar Piastri,25.5,25.7,6,-20,-14,7,6,-20,-7,8,35,43,9,4,28,41,6,7,-1,12,4,15,19,22,7.3,18.0,10.7,31.09,0.29,pia
George Russell,27.4,28.2,10,29,39,12,9,24,45,9,18,27,10,6,26,42,9,10,-15,4,5,-5,0,111,37.0,42.0,5.0,9.17,1.31,rus
Carlos Sainz,11.8,12.6,-5,14,9,12,0,16,28,0,4,4,4,0,15,19,0,0,11,11,0,-3,-3,41,13.7,18.5,4.8,12.66,1.08,sai
Lance Stroll,8,4.8,-5,-18,-23,5,0,-19,-14,0,-17,-17,10,0,7,17,3,0,8,11,0,-20,-20,-54,-18.0,-15.5,2.5,4.58,-3.75,str
Max Verstappen,27.7,28.3,-5,55,50,15,3,-4,14,0,13,13,6,9,37,52,2,5,19,26,9,-20,-11,77,25.7,32.0,6.3,21.08,0.91,ver
