Driver Name,Price,Current Price,Bahrain: Qualifying,Bahrain: Grand Prix ,Bahrain,Saudi Arabia: Qualifying,Saudi Arabia: Grand Prix ,Saudi Arabia,Australia: Qualifying,Australia: Grand Prix ,Australia,Azerbaijan: Sprint,Azerbaijan: Qualifying,Azerbaijan: Grand Prix,Azerbaijan,Miami: Qualifying,Miami: Grand Prix,Miami,Monaco: Qualifying,Monaco: Grand Prix ,Monaco,Spain: Qualifying,Spain: Grand Prix ,Spain,Canada: Qualifying,Canada: Grand Prix ,Canada,Austria: Sprint,Austria: Qualifying,Austria: Grand Prix,Austria,Britain: Qualifying,Britain: Grand Prix ,Britain,Hungary: Qualifying,Hungary: Grand Prix ,Hungary,Belgium: Sprint,Belgium: Qualifying,Belgium: Grand Prix ,Belgium,Netherlands: Qualifying,Netherlands: Grand Prix ,Netherlands,Italy: Qualifying,Italy: Grand Prix ,Italy,Singapore: Qualifying,Singapore: Grand Prix ,Singapore,Japan: Qualifying,Japan: Grand Prix ,Japan,Qatar: Sprint,Qatar: Qualifying,Qatar: Grand Prix,Qatar,United States: Sprint,United States: Qualifying,United States: Grand Prix,United States,Mexico: Qualifying,Mexico: Grand Prix ,Mexico,Brazil: Sprint,Brazil: Qualifying,Brazil: Grand Prix,Brazil,Las Vegas: Qualifying,Las Vegas: Grand Prix ,Las Vegas,Abu Dhabi: Qualifying,Abu Dhabi: Grand Prix ,Abu Dhabi,Total,Avg,Avg(4d1),ΔAvgs,STDEV,Points per dollar,Driver Code
Alex Albon,7.8,7.8,0,13,13,0,-17,-17,3,-18,-15,-2,0,4,2,0,-1,-1,0,0,0,0,5,5,1,21,22,6,1,4,11,3,5,8,0,8,8,2,0,17,19,7,10,17,5,7,12,0,12,12,0,-15,-15,18,0,5,23,0,0,14,14,0,13,13,9,0,-20,-11,5,-5,0,0,6,6,-19,-1.4,2.5,3.9,10.71,-0.19,ALB
Carlos Sainz,18.2,18.2,7,12,19,6,6,12,7,2,9,5,7,9,21,8,12,20,6,0,6,9,10,19,3,19,22,11,8,12,31,6,-2,4,0,12,12,5,6,-19,-8,5,26,31,10,28,38,10,35,45,5,13,18,6,0,-20,-14,5,7,20,32,9,10,19,6,3,12,21,9,25,34,0,4,4,40,11.8,19.5,7.7,6.04,0.65,SAI
Charles Leclerc,22.1,22.1,8,-19,-11,9,18,27,4,-19,-15,6,10,13,29,4,12,16,8,8,16,0,14,14,0,19,19,5,9,18,32,7,-1,6,5,7,12,4,9,13,26,2,-9,-7,8,16,24,8,14,22,7,15,22,-3,6,19,22,5,10,-25,-10,10,14,24,8,9,-20,-3,10,31,41,9,20,29,1,8.4,16.0,7.6,17.32,0.38,LEC
Daniel Riccardo,4.9,4.9,,,0,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,,0,,,0,0,2,2,1,0,6,7,,,0,,,0,,,0,,,0,,,,0,0,0,1,1,7,5,12,3,0,7,10,0,6,6,0,11,11,0,0.0,0.0,0.0,0.00,0.00,RIC
Esteban Ocon,10.5,10.5,2,-19,-17,4,3,7,0,2,2,3,0,4,7,3,5,8,7,25,32,4,5,9,5,6,11,7,0,2,9,0,-18,-18,0,-19,-19,1,0,22,23,0,26,26,0,-18,-18,3,-16,-13,0,10,10,-16,3,15,2,5,3,-18,-10,0,10,10,6,0,11,17,0,40,40,0,2,2,-8,5.3,20.5,15.2,14.32,0.51,OCO
Fernando Alonso,11.8,11.8,6,33,39,8,15,23,7,16,23,7,5,15,27,9,16,25,9,18,27,2,12,14,8,19,27,11,4,13,28,2,10,12,3,4,7,-20,2,20,2,6,56,62,1,4,5,4,-5,-1,1,15,16,5,7,13,25,3,0,-12,-9,0,-16,-16,13,7,19,39,1,11,12,4,12,16,85,19.8,26.0,6.2,7.44,1.68,ALO
George Russell,19.1,19.1,5,11,16,7,11,18,0,-16,-16,6,0,19,25,5,23,28,3,13,16,0,31,31,6,-18,-12,18,0,16,34,5,13,18,0,27,27,8,3,17,28,8,-2,6,7,10,17,9,-11,-2,3,11,14,9,9,19,37,7,6,12,25,3,15,18,13,5,-17,1,7,7,14,7,25,32,18,13.1,29.5,16.4,15.67,0.69,RUS
Kevin Magnussun,7.6,7.6,0,8,8,0,9,9,0,2,2,5,0,11,16,7,-1,6,0,1,1,0,9,9,0,0,0,3,0,10,13,0,-19,-19,0,5,5,6,0,3,9,0,14,14,0,1,1,5,3,8,0,4,4,11,0,12,23,7,0,5,12,0,-16,-16,-2,0,-19,-21,2,3,5,0,0,0,19,5.7,7.5,1.8,5.02,0.75,MAG
Lance Stroll,9.5,9.5,3,14,17,5,-19,-14,2,16,18,5,2,11,18,0,12,12,0,-17,-17,5,11,16,0,14,14,12,5,8,25,0,2,2,0,9,9,5,1,6,12,0,10,10,0,7,7,0,0,0,0,-14,-14,3,0,14,17,-16,0,26,10,0,8,8,10,8,10,28,0,39,39,0,11,11,21,5.6,14.0,8.4,15.63,0.58,STR
Lando Norris,14,14,0,-1,-1,0,7,7,0,19,19,-5,4,1,0,0,1,1,1,5,6,8,-10,-2,4,-2,2,-2,7,24,29,9,29,38,8,21,29,2,4,9,15,9,16,25,2,7,9,7,23,30,8,23,31,9,1,31,41,6,9,31,46,0,48,48,7,4,46,57,0,-14,-14,6,16,22,25,3.3,3.5,0.2,7.34,0.24,NOR
