Driver Name,Price,Bahrain: Qualifying,Bahrain: Grand Prix ,Bahrain,Saudi Arabia: Qualifying,Saudi Arabia: Grand Prix ,Saudi Arabia,Australia: Qualifying,Australia: Grand Prix ,Australia,Japan: Qualifying,Japan: Grand Prix ,Japan,China: Sprint,China: Qualifying,China: Grand Prix,China,Miami: Sprint,Miami: Qualifying,Miami: Grand Prix,Miami,Imola: Qualifying,Imola: Grand Prix ,Imola,Monaco: Qualifying,Monaco: Grand Prix ,Monaco,Canada: Qualifying,Canada: Grand Prix ,Canada,Spain: Qualifying,Spain: Grand Prix ,Spain,Austria: Sprint,Austria: Qualifying,Austria: Grand Prix,Austria,Britain: Qualifying,Britain: Grand Prix ,Britain,Hungary: Qualifying,Hungary: Grand Prix ,Hungary,Belgium: Qualifying,Belgium: Grand Prix ,Belgium,Netherlands: Qualifying,Netherlands: Grand Prix ,Netherlands,Italy: Qualifying,Italy: Grand Prix ,Italy,Azerbaijan: Qualifying,Azerbaijan: Grand Prix ,Azerbaijan,Singapore: Qualifying,Singapore: Grand Prix ,Singapore,United States: Sprint,United States: Qualifying,United States: Grand Prix,United States,Mexico: Qualifying,Mexico: Grand Prix ,Mexico,Brazil: Sprint,Brazil: Qualifying,Brazil: Grand Prix,Brazil,Las Vegas: Qualifying,Las Vegas: Grand Prix ,Las Vegas,Qatar: Sprint,Qatar: Qualifying,Qatar: Grand Prix,Qatar,Abu Dahbi: Qualifying,Abu Dhabi: Grand Prix ,Abu Dhabi,Total,Avg,Avg(4d1),ΔAvgs,STDEV,Points per dollar
Alex Albon,8.6,0,0,0,0,6,6,0,4,4,0,-20,-20,5,0,6,11,8,0,2,10,0,-20,-20,2,3,5,1,-13,-12,0,4,4,5,0,7,12,2,4,6,0,5,5,0,2,2,-15,13,-2,2,4,6,1,11,12,0,-16,-16,6,0,5,11,2,-20,-18,1,4,-20,-15,0,-16,-16,-2,0,7,5,0,11,11,0,0.0,6.3,6.3,11.80,0.00
Fernando Alonso,15.3,5,2,7,7,9,16,1,8,9,6,8,14,-14,8,21,15,-7,0,16,9,0,2,2,0,5,5,5,9,14,0,1,1,-1,0,11,10,1,8,9,4,0,4,2,7,9,4,2,6,0,6,6,3,11,14,4,5,9,-4,3,-3,-4,0,-19,-19,1,2,-2,1,0,11,11,2,3,13,18,3,4,7,78,8.7,5.3,-3.3,5.50,0.57
Oliver Bearman,13.3,,,0,0,26,26,,,0,,,0,,,,0,,,,0,,,0,,,0,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,0,7,7,,,0,,,,0,,,0,-1,0,15,14,,,0,,,,0,,,0,26,2.9,0.0,-2.9,8.67,0.22
Valtteri Bottas,7.1,0,0,0,0,-1,-1,0,2,2,0,8,8,2,1,-17,-14,9,1,1,11,0,-2,-2,0,8,8,0,8,8,0,1,1,0,0,8,8,0,4,4,0,1,1,0,3,3,0,1,1,0,6,6,0,1,1,0,3,3,-2,0,3,1,0,2,2,0,0,-2,-2,0,2,2,5,0,7,12,2,-18,-16,13,1.4,6.7,5.2,7.38,0.20
Franco Colapinto,7.4,,,0,,,0,,,0,,,0,,,,0,,,,0,,,0,,,0,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,0,11,11,2,7,9,0,6,6,-2,0,11,9,0,8,8,5,0,-15,-10,0,10,10,4,0,-20,-16,0,-20,-20,0,0.0,0.0,0.0,0.00,0.00
Jack Doohan,10.9,,,0,,,0,,,0,,,0,,,,0,,,,0,,,0,,,0,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,0,,,0,,,,0,,,0,,,,0,0,8,8,0,0.0,0.0,0.0,0.00,0.00
Pierre Gasly,11.8,0,6,6,0,-20,-20,0,5,5,0,5,5,2,0,11,13,9,0,6,15,0,1,1,1,1,2,0,14,14,4,3,7,-3,0,15,12,0,-20,-20,0,-19,-19,0,3,3,2,7,9,0,1,1,-15,11,-4,0,4,4,-2,4,-3,-1,3,3,6,2,0,28,30,8,-20,-12,0,0,21,21,5,9,14,34,3.8,8.0,4.2,10.03,0.32
Lewis Hamilton,25.8,2,10,12,3,3,6,0,-19,-19,4,1,5,8,0,22,30,1,3,16,20,3,13,16,4,16,20,4,28,32,8,21,29,3,6,14,23,9,38,47,6,20,26,7,39,46,0,21,21,5,13,18,4,22,26,8,9,17,5,0,-15,-10,5,19,24,2,0,13,15,1,45,46,6,5,1,12,0,33,33,119,13.2,23.0,9.8,14.96,0.51
Nico Hulkenberg,11.8,1,-4,-3,0,9,9,0,11,11,0,10,10,-4,2,6,4,6,2,5,13,1,2,3,-15,-17,-32,0,19,19,0,6,6,2,2,16,20,5,9,14,0,0,0,0,2,2,0,6,6,1,-4,-3,0,6,6,5,1,6,1,0,10,11,1,8,9,-17,0,-25,-42,2,15,17,6,0,-18,-12,7,5,12,21,2.3,7.3,5.0,13.77,0.20
Liam Lawson,10.9,,,0,,,0,,,0,,,0,,,,0,,,,0,,,0,,,0,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0,20,20,0,4,4,1,6,2,9,0,2,2,-5,0,8,3,0,-3,-3,0,0.0,0.0,0.0,0.00,0.00
