Driver Name,Price,Australia,China,Japan,Bahrain,Saudi Arabia,Miami,Imola,Monaco,Total,Avg,Avg(4d1),ΔAvgs,STDEV,Points per dollar
Oscar Piastri,24.6,0.84,2.12,1.46,2.09,2.29,3.04,1.77,1.70,15.3087,1.9136,2.3646,0.4510,0.6452,0.0778
Lando Norris,31,4.93,1.94,1.64,1.49,2.17,2.88,1.77,3.33,20.1450,2.5181,2.7939,0.2757,1.1634,0.0812
Max Verstappen,29.2,2.42,1.42,2.19,1.02,2.29,0.63,3.25,1.33,14.5516,1.8190,2.2911,0.4722,0.8636,0.0623
Oliver Bearman,7.5,0.17,0.94,0.24,1.02,0.30,-0.21,0.23,0.59,3.2902,0.4113,0.3740,-0.0373,0.4158,0.0548
George Russell,22.2,2.09,1.65,1.09,1.44,0.96,1.57,0.86,0.22,9.8894,1.2362,1.1300,-0.1062,0.5761,0.0557
Alex Albon,13.6,1.42,0.52,0.49,0.70,0.60,0.99,1.03,0.30,6.0439,0.7555,0.8746,0.1191,0.3664,0.0556
Lance Stroll,9.7,1.34,0.80,0.12,0.33,0.06,1.31,-0.11,0.37,4.2125,0.5266,0.5798,0.0533,0.5609,0.0543
Estaban Ocon,8.1,0.67,1.13,0.06,0.70,0.36,0.37,-1.03,0.74,3.0023,0.3753,0.4896,0.1143,0.6506,0.0463
Lewis Hamilton,23.8,0.33,-0.05,0.67,1.77,0.84,1.68,1.43,1.41,8.0746,1.0093,1.5029,0.4936,0.6618,0.0424
Isack Hadjar,5.5,-1.67,0.52,0.49,0.23,0.48,0.00,0.34,0.89,1.2792,0.1599,0.5710,0.4111,0.7828,0.0291
Andrea Kimi Antonelli,18.9,2.67,1.37,1.40,0.65,0.90,0.58,-1.08,-0.22,6.2655,0.7832,0.4191,-0.3641,1.1256,0.0414
Charles Leclerc,23.9,1.00,-0.57,1.21,0.93,1.51,-0.42,1.37,2.74,7.7779,0.9722,1.8719,0.8996,1.0647,0.0407
Franco Colapinto,4.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.3704,0.0463,0.1235,0.0772,0.1309,0.0103
Yuki Tsunoda,14.4,0.00,0.00,0.79,0.42,-1.02,1.73,0.51,-0.37,2.0547,0.2568,0.6236,0.3667,0.8199,0.0178
Nico Hulkenberg,6,1.67,0.09,0.06,-0.93,0.18,0.47,0.51,-0.15,1.9137,0.2392,0.3884,0.1492,0.7324,0.0399
Liam Lawson,4.8,0.00,0.00,-0.24,0.51,0.30,-0.73,0.17,0.52,0.5266,0.0658,0.3303,0.2645,0.4161,0.0137
Carlos Sainz,8.7,-1.59,0.38,0.24,-0.42,0.72,0.00,0.68,0.15,0.1694,0.0212,0.5185,0.4973,0.7472,0.0024
Pierre Gasly,7,0.08,-0.38,0.00,0.60,-1.02,0.94,0.17,-1.48,-1.0816,-0.1352,0.0298,0.1650,0.8045,-0.0193
Gabriel Bortoleto,4.5,-1.50,0.33,-0.12,0.19,0.18,-0.58,-0.11,0.22,-1.3964,-0.1746,0.0963,0.2708,0.6100,-0.0388
Jack Doohan,4.5,-1.67,0.52,0.36,0.09,0.06,-0.73,0.00,0.00,-1.3676,-0.1709,0.0201,0.1910,0.7084,-0.0380
Fernando Alonso,4.5,-1.67,-0.76,0.24,0.23,0.42,-0.68,0.23,-1.19,-3.1676,-0.3960,-0.0103,0.3857,0.7857,-0.0880
