Driver Name,Price,Australia,China,Japan,Bahrain,Saudi Arabia,Miami,Imola,Monaco,Total,Avg,Avg(4d1),ΔAvgs,STDEV,Points per dollar
Oscar Piastri,24.6,10.00,45.00,24.00,45.00,38.00,58.00,31.00,23.00,274.0000,34.2500,42.3333,8.0833,15.3041,1.3923
Lando Norris,31,59.00,41.00,27.00,32.00,36.00,55.00,31.00,45.00,326.0000,40.7500,45.3333,4.5833,11.5728,1.3145
Max Verstappen,29.2,29.00,30.00,36.00,22.00,38.00,12.00,57.00,18.00,242.0000,30.2500,37.6667,7.4167,13.9463,1.0360
Oliver Bearman,7.5,2.00,20.00,4.00,22.00,5.00,-4.00,4.00,8.00,61.0000,7.6250,5.6667,-1.9583,8.9433,1.0167
George Russell,22.2,25.00,35.00,18.00,31.00,16.00,30.00,15.00,3.00,173.0000,21.6250,20.3333,-1.2917,10.5822,0.9741
Alex Albon,13.6,17.00,11.00,8.00,15.00,10.00,19.00,18.00,4.00,102.0000,12.7500,15.6667,2.9167,5.3385,0.9375
Lance Stroll,9.7,16.00,17.00,2.00,7.00,1.00,25.00,-2.00,5.00,71.0000,8.8750,10.3333,1.4583,9.4330,0.9149
Estaban Ocon,8.1,8.00,24.00,1.00,15.00,6.00,7.00,-18.00,10.00,53.0000,6.6250,7.6667,1.0417,12.0941,0.8179
Lewis Hamilton,23.8,4.00,-1.00,11.00,38.00,14.00,32.00,25.00,19.00,142.0000,17.7500,25.3333,7.5833,13.4563,0.7458
Isack Hadjar,5.5,-20.00,11.00,8.00,5.00,8.00,0.00,6.00,12.00,30.0000,3.7500,8.6667,4.9167,10.2922,0.6818
Andrea Kimi Antonelli,18.9,32.00,29.00,23.00,14.00,15.00,11.00,-19.00,-3.00,102.0000,12.7500,7.6667,-5.0833,16.9263,0.6746
Charles Leclerc,23.9,12.00,-12.00,20.00,20.00,25.00,-8.00,24.00,37.00,118.0000,14.7500,28.6667,13.9167,16.8247,0.6172
Franco Colapinto,4.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,5.0000,0.6250,1.6667,1.0417,1.7678,0.1389
Yuki Tsunoda,14.4,0.00,0.00,13.00,9.00,-17.00,33.00,9.00,-5.00,42.0000,5.2500,12.3333,7.0833,14.7042,0.3646
Nico Hulkenberg,6,20.00,2.00,1.00,-20.00,3.00,9.00,9.00,-2.00,22.0000,2.7500,7.0000,4.2500,11.4611,0.4583
Liam Lawson,4.8,0.00,0.00,-4.00,11.00,5.00,-14.00,3.00,7.00,8.0000,1.0000,5.0000,4.0000,7.6345,0.2083
Carlos Sainz,8.7,-19.00,8.00,4.00,-9.00,12.00,0.00,12.00,2.00,10.0000,1.2500,8.6667,7.4167,10.7005,0.1437
Pierre Gasly,7,1.00,-8.00,0.00,13.00,-17.00,18.00,3.00,-20.00,-10.0000,-1.2500,1.3333,2.5833,13.3283,-0.1786
Gabriel Bortoleto,4.5,-18.00,7.00,-2.00,4.00,3.00,-11.00,-2.00,3.00,-16.0000,-2.0000,1.3333,3.3333,8.4853,-0.4444
Jack Doohan,4.5,-20.00,11.00,6.00,2.00,1.00,-14.00,0.00,0.00,-14.0000,-1.7500,0.3333,2.0833,10.2365,-0.3889
Fernando Alonso,4.5,-20.00,-16.00,4.00,5.00,7.00,-13.00,4.00,-16.00,-45.0000,-5.6250,-0.6667,4.9583,11.5504,-1.2500
