Team Name,Base Price,Price,Bahrain: Qualifying,Bahrain: Grand Prix ,Bahrain,Saudi Arabia: Qualifying,Saudi Arabia: Grand Prix ,Saudi Arabia,Australia: Qualifying,Australia: Grand Prix ,Australia,Azerbaijan: Sprint,Azerbaijan: Qualifying,Azerbaijan: Grand Prix,Azerbaijan,Miami: Qualifying,Miami: Grand Prix,Miami,Monaco: Qualifying,Monaco: Grand Prix ,Monaco,Spain: Qualifying,Spain: Grand Prix ,Spain,Canada: Qualifying,Canada: Grand Prix ,Canada,Austria: Sprint,Austria: Qualifying,Austria: Grand Prix,Austria,Britain: Qualifying,Britain: Grand Prix ,Britain,Hungary: Qualifying,Hungary: Grand Prix ,Hungary,Belgium: Sprint,Belgium: Qualifying,Belgium: Grand Prix ,Belgium,Netherlands: Qualifying,Netherlands: Grand Prix ,Netherlands,Italy: Qualifying,Italy: Grand Prix ,Italy,Singapore: Qualifying,Singapore: Grand Prix ,Singapore,Japan: Qualifying,Japan: Grand Prix ,Japan,Qatar: Sprint,Qatar: Qualifying,Qatar: Grand Prix,Qatar,United States: Sprint,United States: Qualifying,United States: Grand Prix,United States,Mexico: Qualifying,Mexico: Grand Prix ,Mexico,Brazil: Sprint,Brazil: Qualifying,Brazil: Grand Prix,Brazil,Las Vegas: Qualifying,Las Vegas: Grand Prix ,Las Vegas,Abu Dhabi: Qualifying,Abu Dhabi: Grand Prix ,Abu Dhabi,Total,Avg,Avg(4d1),ΔAvgs,STDEV,Points per dollar,Team Code
Alfa Romeo,6.6,6.7,3,28,31,3,4,7,-1,27,26,9,1,-20,-10,6,2,8,1,21,22,1,18,19,1,10,11,0,1,15,16,-21,16,-5,20,-14,6,9,1,16,26,-1,5,4,1,11,12,-1,-7,-8,-1,-9,-10,7,7,25,39,7,3,5,15,13,1,14,1,-1,-31,-31,8,4,12,-1,14,13,49,5.4,0.7,-4.8,15.45,0.81,alf
Alpine,8.4,9.9,7,1,8,15,13,28,7,4,11,12,1,12,25,19,9,28,21,21,42,21,12,33,10,14,24,6,7,8,21,6,-22,-16,3,-38,-35,10,3,30,43,1,65,66,-1,-15,-16,8,5,13,3,17,20,-10,17,16,23,11,17,-1,27,1,20,21,10,3,31,44,11,35,46,6,5,11,108,12.0,12.3,0.3,13.39,1.21,alp
AlphaTauri,8.5,10.6,1,16,17,-1,16,15,3,10,13,-11,3,-15,-23,1,16,17,7,-6,1,3,17,20,-1,7,6,2,-1,19,20,-1,6,5,1,7,8,-1,1,18,18,5,35,40,3,-15,-12,6,-10,-4,7,8,15,-10,1,5,-4,11,3,20,34,12,30,42,8,-1,24,31,1,25,26,10,17,27,56,6.2,3.3,-2.9,10.53,0.59,alt
Aston Martin,13.6,15,19,37,56,23,-4,19,22,32,54,12,17,26,55,14,28,42,14,1,15,17,23,40,13,33,46,23,19,21,63,7,15,22,8,13,21,-15,13,26,24,11,56,67,6,11,17,9,-5,4,6,1,7,8,12,27,47,-13,-1,14,0,1,-8,-7,23,25,29,77,6,50,56,9,23,32,272,30.2,20.7,-9.6,16.22,2.01,ast
Ferrari,19.3,23,25,6,31,25,34,59,20,-17,3,11,27,25,63,22,34,56,24,13,37,14,24,38,8,38,46,16,27,30,73,23,2,25,10,22,32,9,25,4,38,17,17,34,28,39,67,28,42,70,22,43,65,3,11,4,18,10,27,-12,25,29,34,63,14,22,-8,28,29,49,78,14,34,48,237,26.3,18.3,-8.0,19.72,1.14,fer
Haas,6.3,9.7,6,6,12,3,10,13,6,12,18,4,-1,14,17,12,3,15,-1,8,7,8,9,17,14,-10,4,15,8,-9,14,1,-19,-18,6,4,10,9,1,13,23,1,25,26,1,-1,0,17,1,18,1,14,15,-9,1,14,6,11,1,18,30,1,-8,-7,-4,3,-18,-19,7,5,12,8,-6,2,91,10.1,12.3,2.2,10.88,1.04,haa
Mclaren,23.2,25.4,1,-17,-16,7,7,14,1,35,36,-2,15,10,23,-1,9,8,6,9,15,19,-8,11,16,-1,15,14,12,28,54,27,41,68,25,37,62,10,19,-11,18,22,34,56,16,28,44,12,52,64,27,39,66,19,16,75,110,1,20,15,36,9,48,57,12,15,38,65,-1,35,34,24,35,59,169,18.8,34.3,15.6,22.85,0.74,mcl
Mercedes,20.1,22.3,19,26,45,20,24,44,27,5,32,7,11,31,49,10,47,57,18,36,54,11,54,65,23,-2,21,39,11,20,70,19,34,53,15,37,52,11,20,39,70,13,27,40,20,24,44,25,22,47,17,27,44,27,27,-1,53,16,24,-19,21,18,51,69,14,21,-11,24,12,33,45,12,39,51,335,37.2,38.3,1.1,14.60,1.67,mer
Red Bull Racing,27.9,28.9,29,49,78,15,80,95,10,88,98,23,27,58,108,22,75,97,15,48,63,15,81,96,15,71,86,18,15,79,112,15,62,77,21,74,95,-6,28,58,80,24,77,101,25,56,81,3,51,54,26,20,46,-1,15,50,64,21,17,57,95,24,21,45,19,22,64,105,13,71,84,22,65,87,551,61.2,36.7,-24.6,36.15,2.12,red
Williams,6.3,6.5,1,24,25,-6,-10,-16,8,-13,-5,-2,3,4,5,1,0,1,1,0,1,-1,6,5,6,-8,-2,14,6,15,35,8,11,19,-1,10,9,1,-1,21,21,18,-9,9,10,10,20,1,18,19,-4,-31,-35,0,1,-11,-10,1,-1,29,29,-4,24,20,9,1,-8,2,19,-12,7,-4,16,12,47,5.2,13.0,7.8,12.61,0.80,wil
