Team Name,Base Price,Price,Bahrain: Qualifying,Bahrain: Grand Prix ,Bahrain,Saudi Arabia: Qualifying,Saudi Arabia: Grand Prix ,Saudi Arabia,Australia: Qualifying,Australia: Grand Prix ,Australia,Japan: Qualifying,Japan: Grand Prix ,Japan,China: Sprint,China: Qualifying,China: Grand Prix,China,Miami: Sprint,Miami: Qualifying,Miami: Grand Prix,Miami,Imola: Qualifying,Imola: Grand Prix ,Imola,Monaco: Qualifying,Monaco: Grand Prix ,Monaco,Canada: Qualifying,Canada: Grand Prix ,Canada,Spain: Qualifying,Spain: Grand Prix ,Spain,Austria: Sprint,Austria: Qualifying,Austria: Grand Prix,Austria,Britain: Qualifying,Britain: Grand Prix ,Britain,Hungary: Qualifying,Hungary: Grand Prix ,Hungary,Belgium: Qualifying,Belgium: Grand Prix ,Belgium,Netherlands: Qualifying,Netherlands: Grand Prix ,Netherlands,Italy: Qualifying,Italy: Grand Prix ,Italy,Azerbaijan: Qualifying,Azerbaijan: Grand Prix ,Azerbaijan,Singapore: Qualifying,Singapore: Grand Prix ,Singapore,United States: Sprint,United States: Qualifying,United States: Grand Prix,United States,Mexico: Qualifying,Mexico: Grand Prix ,Mexico,Brazil: Sprint,Brazil: Qualifying,Brazil: Grand Prix,Brazil,Las Vegas: Qualifying,Las Vegas: Grand Prix ,Las Vegas,Qatar: Sprint,Qatar: Qualifying,Qatar: Grand Prix,Qatar,Abu Dahbi: Qualifying,Abu Dhabi: Grand Prix ,Abu Dhabi,Total,Avg,Avg(4d1),ΔAvgs,STDEV,Points per dollar,Team Code
Alpine,8.4,9.9,-1,13,12,-1,-12,-13,1,5,6,1,10,11,10,3,15,28,9,3,17,29,3,2,5,6,-18,-12,1,30,31,16,8,24,-5,6,20,21,-1,-11,-12,-1,-9,-10,6,12,18,7,10,17,3,15,18,-16,18,2,1,10,11,2,9,3,14,8,13,21,10,12,49,71,13,-25,-12,7,1,1,9,10,17,27,90,10.0,19.3,9.3,15.57,1.01,alp
Aston Martin,13.6,15,10,10,20,18,-9,9,13,22,35,11,21,32,-10,13,26,29,-27,3,17,-7,1,14,15,1,12,13,17,21,38,3,7,10,3,1,23,27,14,17,31,17,6,23,7,14,21,17,0,17,1,10,11,8,8,16,9,9,18,-3,8,0,5,3,-8,-5,2,13,-19,-4,-1,15,14,5,8,-4,9,8,10,18,156,17.3,12.7,-4.7,13.28,1.16,ast
Ferrari,19.3,23,26,47,73,14,44,58,25,67,92,20,39,59,21,19,34,74,13,27,39,79,23,28,51,28,40,68,3,-19,-16,21,23,44,13,22,34,69,9,26,35,22,25,47,22,25,47,16,43,59,23,42,65,28,6,34,13,36,49,20,25,52,97,27,55,82,10,10,4,24,25,46,71,15,20,35,70,13,69,82,598,66.4,66.0,-0.4,14.93,2.89,fer
Haas,6.3,9.7,6,3,9,3,16,19,1,19,20,1,19,20,3,7,16,26,4,7,8,19,6,15,21,-30,-35,-65,1,33,34,1,10,11,7,7,27,41,10,20,30,3,7,10,-1,8,7,3,13,16,5,5,10,3,13,16,10,0,10,6,7,12,25,15,19,34,-18,-1,-10,-29,7,20,27,17,6,-9,14,12,18,30,80,8.9,17.0,8.1,28.18,0.92,haa
Kick Sauber,6.6,6.7,-1,11,10,-6,2,-4,1,5,6,1,-9,-8,7,6,-9,4,17,-1,13,29,-1,3,2,-1,13,12,-1,14,13,3,5,8,-1,-1,11,9,1,2,3,1,1,2,1,-15,-14,-1,-1,-2,-1,10,9,-1,18,17,-1,9,8,-1,-1,8,6,1,9,10,5,1,12,18,1,7,8,8,3,24,35,7,-10,-3,59,6.6,16.3,9.8,10.60,0.98,kck
Mclaren,23.2,25.4,17,19,36,21,20,41,22,32,54,23,16,39,2,23,23,48,-17,21,46,50,27,37,64,26,30,56,25,32,57,21,45,66,20,23,12,55,24,35,59,29,45,74,21,46,67,28,53,81,29,54,83,14,71,85,26,55,81,21,26,33,80,13,60,73,15,23,12,50,18,48,66,17,25,34,76,29,36,65,454,50.4,62.0,11.6,10.63,1.99,mcl
Mercedes,20.1,22.3,20,22,42,17,19,36,9,-26,-17,16,12,28,17,8,37,62,0,17,23,40,18,36,54,20,26,46,24,50,74,25,41,66,9,24,43,76,29,9,38,11,47,58,21,4,25,12,27,39,23,26,49,20,45,65,25,24,49,6,10,17,33,21,33,54,5,14,26,45,21,61,82,11,24,12,47,9,46,55,357,39.7,55.3,15.7,24.51,1.78,mer
Red Bull Racing,27.9,28.9,26,63,89,28,62,90,28,4,32,29,79,108,34,29,63,126,20,27,38,85,15,46,61,10,-2,8,14,11,25,22,60,82,9,23,24,56,12,43,55,13,34,47,28,41,69,25,27,52,17,23,40,22,4,26,14,33,47,18,20,34,72,14,27,41,24,3,69,96,11,44,55,0,22,22,44,17,-2,15,681,75.7,76.0,0.3,36.73,2.62,red
VCARB,8.5,10.6,3,4,7,7,-3,4,8,16,24,6,-10,-4,14,1,-29,-14,19,6,19,44,16,-4,12,8,4,12,19,0,19,-1,11,10,7,3,13,23,3,13,16,13,12,25,1,17,18,3,12,15,1,-16,-15,3,-17,-14,8,14,22,2,3,23,28,3,-16,-13,7,24,5,36,9,7,16,-4,1,17,14,3,8,11,95,10.6,22.7,12.1,16.49,1.00,vrb
Williams,6.3,6.5,1,3,4,1,13,14,1,4,5,1,-11,-10,8,1,11,20,18,1,-15,4,-4,-17,-21,7,4,11,6,-32,-26,-1,5,4,5,-1,7,11,7,8,15,3,6,9,1,4,5,-20,18,-2,7,15,22,13,18,31,3,-10,-7,4,-1,16,19,7,-12,-5,6,9,-35,-20,1,-6,-5,2,-1,-13,-12,-1,-9,-10,31,3.4,6.3,2.9,12.37,0.53,wil
