Team Name,Price,Australia,China,Japan,Bahrain,Saudi Arabia,Miami,Imola,Monaco,Total,Avg,Avg(4d1),ΔAvgs,STDEV,Points per dollar
Mclaren,32.4,5.9343,4.7690,4.3117,4.2791,5.1807,6.1780,4.6768,6.1481,41.4778,5.1847,5.8356,0.6509,0.8009,0.1600
Mercedes,24.7,5.6000,3.2580,1.9310,2.7907,2.7711,2.6702,0.3422,0.6667,20.0299,2.5037,2.0360,-0.4678,1.6350,0.1014
Haas,9.8,1.1701,2.2192,0.3448,1.8605,0.7229,0.4188,-0.7414,1.8519,7.8468,0.9809,0.9979,0.0170,0.9896,0.1001
Ferrari,28.5,3.0090,-1.0860,1.9310,3.3953,3.8554,1.7801,3.8213,5.2593,21.9654,2.7457,4.3120,1.5663,1.9077,0.0963
Red Bull Racing,27.5,1.5881,3.1636,1.5862,2.1395,1.2651,3.1414,4.0494,1.7037,18.6369,2.3296,2.9648,0.6352,0.9983,0.0847
Racing Bulls,11.2,-0.8358,1.9831,0.4828,1.0233,1.0843,-0.3141,1.3688,2.2963,7.0886,0.8861,1.5832,0.6971,1.0725,0.0791
Williams,17.1,0.8358,1.2277,0.6552,0.6047,1.6265,1.6230,2.3954,1.1852,10.1535,1.2692,1.8817,0.6125,0.6020,0.0742
Aston Martin,9.3,0.0836,0.1889,0.3103,0.8372,0.6627,0.6806,0.7985,-0.2963,3.2655,0.4082,0.7139,0.3057,0.4026,0.0439
Kick Sauber,5.7,0.2507,0.5666,0.0000,-1.0233,0.6024,0.4712,0.7414,0.5185,2.1277,0.2660,0.6208,0.3548,0.5693,0.0467
Alpine,7.1,-1.1701,-0.2833,0.3103,1.0233,-0.3614,0.5236,0.5703,-0.8148,-0.2022,-0.0253,0.2442,0.2694,0.7542,-0.0036
