Team Name,Price,Australia,China,Japan,Bahrain,Saudi Arabia,Miami,Imola,Monaco,Total,Avg,Avg(4d1),ΔAvgs,STDEV,Points per dollar
Mclaren,32.4,71.0000,101.0000,71.0000,92.0000,86.0000,118.0000,82.0000,83.0000,704.0000,88.0000,95.6667,7.6667,15.7117,2.7160
Mercedes,24.7,67.0000,69.0000,56.0000,60.0000,46.0000,51.0000,6.0000,9.0000,364.0000,45.5000,35.3333,-10.1667,24.6634,1.8421
Haas,9.8,14.0000,47.0000,10.0000,40.0000,12.0000,8.0000,-13.0000,25.0000,143.0000,17.8750,15.0000,-2.8750,19.0895,1.8240
Ferrari,28.5,36.0000,-23.0000,56.0000,73.0000,64.0000,34.0000,67.0000,71.0000,378.0000,47.2500,67.3333,20.0833,32.0970,1.6579
Red Bull Racing,27.5,19.0000,67.0000,46.0000,46.0000,21.0000,60.0000,71.0000,23.0000,353.0000,44.1250,51.3333,7.2083,21.1014,1.6045
Racing Bulls,11.2,-10.0000,42.0000,14.0000,22.0000,18.0000,-6.0000,24.0000,31.0000,135.0000,16.8750,24.3333,7.4583,17.5779,1.5067
Williams,17.1,10.0000,26.0000,19.0000,13.0000,27.0000,31.0000,42.0000,16.0000,184.0000,23.0000,33.3333,10.3333,10.5830,1.3450
Aston Martin,9.3,1.0000,4.0000,9.0000,18.0000,11.0000,13.0000,14.0000,-4.0000,66.0000,8.2500,12.6667,4.4167,7.3630,0.8871
Kick Sauber,5.7,3.0000,12.0000,0.0000,-22.0000,10.0000,9.0000,13.0000,7.0000,32.0000,4.0000,10.6667,6.6667,11.3892,0.7018
Alpine,7.1,-14.0000,-6.0000,9.0000,22.0000,-6.0000,10.0000,10.0000,-11.0000,14.0000,1.7500,4.6667,2.9167,12.7026,0.2465
