Grand Prix Name,Avg Temp,Rain MM,Length,Pit Lane Time Loss,Fastest Lap,Top Speed,Number of Corners,Avg Overtakes
Australia,-0.118,-0.403,0.008,-0.105,-0.070,0.012,-0.162,-0.394
China,-0.461,0.053,0.041,0.109,0.113,0.093,-0.042,0.679
Japan,-0.314,1.173,0.109,0.053,0.060,-0.048,0.077,0.096
Bahrain,0.322,-0.898,0.035,-0.123,0.109,-0.037,-0.102,0.609
Saudi Arabia,0.420,-0.967,0.179,-0.109,0.070,0.049,0.616,-0.300
Miami,0.322,1.384,0.033,-0.077,0.046,0.064,0.137,0.259
Imola,-0.069,-0.136,-0.063,0.308,-0.084,-0.275,0.137,-0.464
Monaco,-0.118,-0.465,-0.363,-0.109,-0.136,-0.341,0.137,-0.767
Spain,0.078,-0.614,-0.111,0.034,-0.101,0.066,-0.162,0.050
Canada,-0.069,0.219,-0.167,-0.149,-0.131,0.060,-0.222,0.050
Austria,-0.167,0.460,-0.174,-0.054,-0.235,-0.053,-0.401,-0.114
Britain,-0.069,-0.433,0.125,-0.077,0.029,-0.037,0.077,0.236
Belgium,-0.167,0.052,0.337,-0.123,0.220,-0.012,0.197,-0.230
Hungary,0.078,-0.082,-0.164,-0.046,-0.064,-0.142,-0.162,-0.277
Netherlands,-0.118,0.530,0.004,-0.002,-0.140,0.008,-0.162,-0.440
Italy,-0.020,-0.060,0.106,0.099,-0.051,0.163,-0.342,-0.020
Azerbaijan,0.078,-0.737,0.146,-0.082,0.201,0.017,0.197,0.283
Singapore,0.371,2.002,-0.057,0.346,0.101,-0.085,0.137,-0.090
United States,0.078,0.511,0.053,-0.058,0.134,-0.068,0.197,0.096
Mexico,-0.167,0.316,-0.178,0.014,-0.087,0.113,0.017,-0.254
Brazil,0.078,0.729,-0.177,-0.034,-0.155,-0.027,-0.102,0.469
Las Vegas,-0.314,-0.890,0.184,-0.049,0.106,0.249,0.017,0.399
Qatar,0.273,-0.764,0.035,0.219,-0.040,0.200,-0.042,0.143
Abu Dhabi,0.078,-0.981,0.060,0.017,0.105,0.031,-0.042,-0.020
